"NUTS code";"ITL code";"Region name"
"UKJ21";"TLJ21";"Brighton and Hove"
"UKJ22";"TLJ22";"East Sussex CC"
"UKJ25";"TLJ25";"West Surrey"
"UKJ26";"TLJ26";"East Surrey"
"UKJ27";"TLJ27";"West Sussex (South West)"
"UKJ28";"TLJ28";"West Sussex (North East)"
"UKJ3";"TLJ3";"Hampshire and Isle of Wight"
"UKJ31";"TLJ31";"Portsmouth"
"UKJ32";"TLJ32";"Southampton"
"UKJ34";"TLJ34";"Isle of Wight"
"UKJ35";"TLJ35";"South Hampshire"
"UKJ36";"TLJ36";"Central Hampshire"
"UKJ37";"TLJ37";"North Hampshire"
"UKJ4";"TLJ4";"Kent"
"UKJ41";"TLJ41";"Medway"
"UKJ43";"TLJ43";"Kent Thames Gateway"
"UKJ44";"TLJ44";"East Kent"
"UKJ45";"TLJ45";"Mid Kent"
"UKJ46";"TLJ46";"West Kent"
"UKK";"TLK";"South West (England)"
"UKK1";"TLK1";"Gloucestershire, Wiltshire and Bristol/Bath area"
"UKK11";"TLK11";"Bristol, City of"
"UKK12";"TLK12";"Bath and North East Somerset, North Somerset and South Gloucestershire"
"UKK13";"TLK13";"Gloucestershire CC"
"UKK14";"TLK14";"Swindon"
"UKK15";"TLK15";"Wiltshire"
"UKK2";"TLK2";"Dorset and Somerset"
"UKK23";"TLK23";"Somerset CC"
"UKK24";"TLK24";"Bournemouth, Christchurch and Poole"
"UKK25";"TLK25";"Dorset"
"UKK3";"TLK3";"Cornwall and Isles of Scilly"
"UKK30";"TLK30";"Cornwall and Isles of Scilly"
"UKK4";"TLK4";"Devon"
"UKK41";"TLK41";"Plymouth"
"UKK42";"TLK42";"Torbay"
"UKK43";"TLK43";"Devon CC"
"UKL";"TLL";"Wales"
"UKL1";"TLL1";"West Wales and The Valleys"
"UKL11";"TLL11";"Isle of Anglesey"
"UKL12";"TLL12";"Gwynedd"
"UKL13";"TLL13";"Conwy and Denbighshire"
"UKL14";"TLL14";"South West Wales"
"UKL15";"TLL15";"Central Valleys"
